Fabric Code,Brand,Type,Color,File
504841,2,shirt,Light Blue Pinpoint,504841.jpg
504842,2,shirt,"Brown, Green And Dark Blue Stripe",504842.jpg
504849,2,shirt,White With Grey Check,504849.jpg
504851,2,shirt,White With Blue Check,504851.jpg
504852,2,shirt,White With Black Check,504852.jpg
504856,2,shirt,null,504856.jpg
504857,2,shirt,White With Yellow And Blue Stripe,504857.jpg
504943,2,shirt,White With Red Sport,504943.jpg
504964,2,shirt,Pink With Blue And Red Stripe,504964.jpg
504966,2,shirt,White With Blue Stripe,504966.jpg
504993,2,shirt,White With Dark Blue Check,504993.jpg
504994,2,shirt,White With Black Check,504994.jpg
504997,2,shirt,White With Brown Stripe,504997.jpg
505004,2,shirt,Purple With White And Purple Check,505004.jpg
505006,2,shirt,Pink With White And Pink Check,505006.jpg
505018,2,shirt,White With Voilet Stripe,505018.jpg
505019,2,shirt,White With Blue Stripe,505019.jpg
505020,2,shirt,White With Dark Blue Stripe,505020.jpg
505021,2,shirt,White With Black Stripe,505021.jpg
505027,2,shirt,White With Blue And Pink Check,505027.jpg
505031,2,shirt,Blue with Yellow Stripes ,505031.jpg
505298,2,shirt,Small Light Salmon Check,505298.jpg
505299,2,shirt,Small Sky Blue Check,505299.jpg
505300,2,shirt,Small Medium Violet Check,505300.jpg
505301,2,shirt,Light Salmon Stripe,505301.jpg
505302,2,shirt,Red Stripe,505302.jpg
505303,2,shirt,Sky Blue Stripe,505303.jpg
505304,2,shirt,Blue Stripe,505304.jpg
505305,2,shirt,Black Stripe,505305.jpg
505306,2,shirt,Silver Stripe,505306.jpg
505307,2,shirt,Sky Blue Fine Stripe,505307.jpg
505308,2,shirt,Navy Blue Fine Stripe,505308.jpg
505309,2,shirt,Black Fine Stripe,505309.jpg
505310,2,shirt,Blue With White Check,505310.jpg
505311,2,shirt,Navy Blue With White Check,505311.jpg
505312,2,shirt,Light Salmon Check,505312.jpg
505313,2,shirt,Blue Check,505313.jpg
505314,2,shirt,Silver Check,505314.jpg
505315,2,shirt,Light Blue Micro Grid,505315.jpg
505316,2,shirt,Black Micro Grid,505316.jpg
505317,2,shirt,Midnight Blue With White Check,505317.jpg
505318,2,shirt,Black With White Check,505318.jpg
505319,2,shirt,Blue With White Check,505319.jpg
505320,2,shirt,Sky Blue With White Stripe,505320.jpg
505321,2,shirt,Blue With White Stripe,505321.jpg
505322,2,shirt,Dark Blue With White Stripe,505322.jpg
505323,2,shirt,Light Blue Check,505323.jpg
505324,2,shirt,Black Check,505324.jpg
505325,2,shirt,Blue Check,505325.jpg
553509,2,shirt,Light Blue With Blue And Green Stripe,553509.jpg
553536,2,shirt,PowderBlue With Dark blue Stripe,553536.jpg
553563,2,shirt,Ash With Yellow And White Pinstripe,553563.jpg
553565,2,shirt,"White With Dark Grey, Grey And Yellow Stripe",553565.jpg
553566,2,shirt,"White With Blue, Orange And Light Blue Stripe",553566.jpg
553567,2,shirt,"White With Sky Blue, Dark Blue And Green Stripe",553567.jpg
553571,2,shirt,"White With Pink, Light Blue And Gold Pinstripe",553571.jpg
553573,2,shirt,White With Pink And Black Strip,553573.jpg
553692,2,shirt,Beige And Dark Blue Double Stripe,553692.jpg
553694,2,shirt,Tan With Red And Blue Stripe,553694.jpg
553696,2,shirt,Tan With Brown Stripe,553696.jpg
553697,2,shirt,Tan With Dark Blue Stripe,553697.jpg
553698,2,shirt,Tan With Red Stripe,553698.jpg
553699,2,shirt,Beige Double Stripe,553699.jpg
