brand,cc,model,ref_no,vehicle_type,abe1,year,type,product_code,abe_shock,length,top,bottom ,spring,piston,shaft,preload,rebound,compression,length_adjus,hydraulic,emulsion,piggy_back,on_hose,free_piston,dtg
19,850,850 California T5,,1,ABE,1984,TS,RG362-340TRCL-06,ABE,340-350,14x20,14x20,46-20-30-200,36,12,T,Y,C,Y, ,,Y,,,
19,850,850 California T5,,1,ABE,1985,TS,RZ362-340TRL-06,ABE,340-350,14x20,14x20,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
19,850,850 California T5,,1,ABE,1985,TS,RE302-340T-06,ABE,340,14x20,10x20,46-20-30-220,30,12,T,,,,,Y,,,,
19,850,850 California T5,,1,ABE,1985,TS,RG362-340TRCL-06,ABE,340-350,14x20,14x20,46-20-30-200,36,12,T,Y,C,Y, ,,Y,,,
19,850,850 California T5,,1,ABE,1986,TS,RZ362-340TRL-06,ABE,340-350,14x20,14x20,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
19,850,850 California T5,,1,ABE,1986,TS,RE302-340T-06,ABE,340,14x20,10x20,46-20-30-220,30,12,T,,,,,Y,,,,
19,850,850 California T5,,1,ABE,1986,TS,RG362-340TRCL-06,ABE,340-350,14x20,14x20,46-20-30-200,36,12,T,Y,C,Y, ,,Y,,,
19,850,850 California T5,,1,ABE,1987,TS,RZ362-340TRL-06,ABE,340-350,14x20,14x20,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
19,850,850 California T5,,1,ABE,1987,TS,RE302-340T-06,ABE,340,14x20,10x20,46-20-30-220,30,12,T,,,,,Y,,,,
19,850,850 California T5,,1,ABE,1987,TS,RG362-340TRCL-06,ABE,340-350,14x20,14x20,46-20-30-200,36,12,T,Y,C,Y, ,,Y,,,
19,850,850 California T5,,1,ABE,1988,TS,RZ362-340TRL-06,ABE,340-350,14x20,14x20,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
19,850,850 California T5,,1,ABE,1988,TS,RE302-340T-06,ABE,340,14x20,10x20,46-20-30-220,30,12,T,,,,,Y,,,,
19,850,850 California T5,,1,ABE,1988,TS,RG362-340TRCL-06,ABE,340-350,14x20,14x20,46-20-30-200,36,12,T,Y,C,Y, ,,Y,,,
19,850,"850 California, T3, T4",VD,1,ABE,1976,TS,RZ362-320TRL-10,ABE,320-330,14x20,14x20,46-20-30-180,36,12,T,Y,,Y,,Y,,,,
19,850,"850 California, T3, T4",VD,1,ABE,1976,TS,RE302-320T-10,ABE,320,14x20,14x20,46-20-30-200,30,12,T,,,,,Y,,,,
19,850,"850 California, T3, T4",VD,1,ABE,1976,TS,RD222-320P-10,ABE,320,14x20,14x20,46-20-30-200,22,12,P,,,,Y,,,,,
19,850,"850 California, T3, T4",VD,1,ABE,1977,TS,RZ362-320TRL-10,ABE,320-330,14x20,14x20,46-20-30-180,36,12,T,Y,,Y,,Y,,,,
19,850,"850 California, T3, T4",VD,1,ABE,1977,TS,RE302-320T-10,ABE,320,14x20,14x20,46-20-30-200,30,12,T,,,,,Y,,,,
19,850,"850 California, T3, T4",VD,1,ABE,1977,TS,RD222-320P-10,ABE,320,14x20,14x20,46-20-30-200,22,12,P,,,,Y,,,,,
19,850,"850 California, T3, T4",VD,1,ABE,1978,TS,RZ362-320TRL-10,ABE,320-330,14x20,14x20,46-20-30-180,36,12,T,Y,,Y,,Y,,,,
19,850,"850 California, T3, T4",VD,1,ABE,1978,TS,RE302-320T-10,ABE,320,14x20,14x20,46-20-30-200,30,12,T,,,,,Y,,,,
19,850,"850 California, T3, T4",VD,1,ABE,1978,TS,RD222-320P-10,ABE,320,14x20,14x20,46-20-30-200,22,12,P,,,,Y,,,,,
19,850,"850 California, T3, T4",VD,1,ABE,1979,TS,RZ362-320TRL-10,ABE,320-330,14x20,14x20,46-20-30-180,36,12,T,Y,,Y,,Y,,,,
19,850,"850 California, T3, T4",VD,1,ABE,1979,TS,RE302-320T-10,ABE,320,14x20,14x20,46-20-30-200,30,12,T,,,,,Y,,,,
19,850,"850 California, T3, T4",VD,1,ABE,1979,TS,RD222-320P-10,ABE,320,14x20,14x20,46-20-30-200,22,12,P,,,,Y,,,,,
