brand,cc,model,ref_no,vehicle_type,abe1,year,type,product_code,abe_shock,length,top,bottom ,spring,piston,shaft,preload,rebound,compression,length_adjus,hydraulic,emulsion,piggy_back,on_hose,free_piston,dtg
27,1200,Daytona Super III,T300B,1,ABE,1995,MS,MZ506-315TRL-23,ABE,315-325,12x30,24x35,60-150-150,50,16,T,Y,,Y,,Y,,,,
27,1200,Daytona Super III,T300B,1,ABE,1996,MS,MZ506-315TRL-23,ABE,315-325,12x30,24x35,60-150-150,50,16,T,Y,,Y,,Y,,,,
27,955,Daytona T 595 ,T595/N,1,ABE,1997,MS,MZ506-370TRL-03,ABE,370-380,10x32+20,12x22+10,60-130-185,50,16,T,Y,,Y,,Y,,,,
27,955,Daytona T 595 ,T595/N,1,ABE,1998,MS,MZ506-370TRL-03,ABE,370-380,10x32+20,12x22+10,60-130-185,50,16,T,Y,,Y,,Y,,,,
27,955,Daytona T 595 ,T595/N,1,ABE,1999,MS,MZ506-370TRL-03,ABE,370-380,10x32+20,12x22+10,60-130-185,50,16,T,Y,,Y,,Y,,,,
27,955,Daytona T 595 ,T595/N,1,ABE,2000,MS,MZ506-370TRL-03,ABE,370-380,10x32+20,12x22+10,60-130-185,50,16,T,Y,,Y,,Y,,,,
27,955,Daytona T 595 ,T595/N,1,ABE,2001,MS,MZ506-370TRL-03,ABE,370-380,10x32+20,12x22+10,60-130-185,50,16,T,Y,,Y,,Y,,,,
27,900,Legend 900,T309RT,1,ABE,1995,MS,MZ506-340TRL-16,ABE,340-350,12x30,F.30x12,60-120-150,50,16,T,Y,,Y,,Y,,,,
27,2294,Rocket III,C23XB,1,ABE,2004,TS,RZ362-320TRL-50,ABE,320-330,16x20,16x20,46-45-60-180,36,12,T,Y,,Y,,Y,,,,
27,2294,Rocket III,C23XB,1,ABE,2004,TS,RE302-320T-50,ABE,320,16x20,16x20,46-45-60-200,30,12,T,,,,,Y,,,,
27,865,Scrambler 900,986 MG,1,ABE,2005,TS,RZ362-360TRL-22,ABE,360-370,14x22,14x22,46-20-30-220,36,12,T,Y,,Y,,Y,,,,
27,865,Scrambler 900,986 MG,1,ABE,2005,TS,RG362-360TRCL-22,ABE,360-370,14x22,14x22,46-20-30-220,36,12,T,Y,C,Y,,,Y,,,
27,865,Scrambler 900,986 MG,1,ABE,2005,TS,RE302-360T-22,ABE,360,14x22,14x22,46-20-30-240,30,12,T,,,,,Y,,,,
27,865,Scrambler 900,986 MG,1,ABE,2005,TS,RD222-360P-22,ABE,360,14x22,14x22,46-20-30-220,22,12,P,,,,Y,,,,,
27,865,Scrambler 900,986 MG,1,ABE,2006,TS,RZ362-360TRL-22,ABE,360-370,14x22,14x22,46-20-30-220,36,12,T,Y,,Y,,Y,,,,
27,865,Scrambler 900,986 MG,1,ABE,2006,TS,RG362-360TRCL-22,ABE,360-370,14x22,14x22,46-20-30-220,36,12,T,Y,C,Y,,,Y,,,
27,865,Scrambler 900,986 MG,1,ABE,2006,TS,RE302-360T-22,ABE,360,14x22,14x22,46-20-30-240,30,12,T,,,,,Y,,,,
27,865,Scrambler 900,986 MG,1,ABE,2006,TS,RD222-360P-22,ABE,360,14x22,14x22,46-20-30-220,22,12,P,,,,Y,,,,,
27,865,Scrambler 900,986 MG,1,ABE,2007,TS,RZ362-360TRL-22,ABE,360-370,14x22,14x22,46-20-30-220,36,12,T,Y,,Y,,Y,,,,
27,865,Scrambler 900,986 MG,1,ABE,2007,TS,RG362-360TRCL-22,ABE,360-370,14x22,14x22,46-20-30-220,36,12,T,Y,C,Y,,,Y,,,
27,865,Scrambler 900,986 MG,1,ABE,2007,TS,RE302-360T-22,ABE,360,14x22,14x22,46-20-30-240,30,12,T,,,,,Y,,,,
27,865,Scrambler 900,986 MG,1,ABE,2007,TS,RD222-360P-22,ABE,360,14x22,14x22,46-20-30-220,22,12,P,,,,Y,,,,,
27,900,Speed Triple / Trident 900,T 300 B/ 750C / T300C,1,ABE,1994,MS,MZ506-315TRL-23,ABE,315-325,12x30,24x35,60-150-150,50,16,T,Y,,Y,,Y,,,,
27,900,Speed Triple / Trident 900,T 300 B/ 750C / T300C,1,ABE,1995,MS,MZ506-315TRL-23,ABE,315-325,12x30,24x35,60-150-150,50,16,T,Y,,Y,,Y,,,,
27,900,Speed Triple / Trident 900,T 300 B/ 750C / T300C,1,ABE,1996,MS,MZ506-315TRL-23,ABE,315-325,12x30,24x35,60-150-150,50,16,T,Y,,Y,,Y,,,,
27,900,Speed Triple / Trident 900,T 300 B/ 750C / T300C,1,ABE,1997,MS,MZ506-315TRL-23,ABE,315-325,12x30,24x35,60-150-150,50,16,T,Y,,Y,,Y,,,,
27,885,Speed Triple T 509 ,T509/595/955,1,ABE,1997,MS,MZ506-370TRL-03,ABE,370-380,10x32+20,12x22+10,60-130-185,50,16,T,Y,,Y,,Y,,,,
27,885,Speed Triple T 509 ,T509/595/955,1,ABE,1998,MS,MZ506-370TRL-03,ABE,370-380,10x32+20,12x22+10,60-130-185,50,16,T,Y,,Y,,Y,,,,
27,885,Speed Triple T 509 ,T509/595/955,1,ABE,1999,MS,MZ506-370TRL-03,ABE,370-380,10x32+20,12x22+10,60-130-185,50,16,T,Y,,Y,,Y,,,,
27,1050,Speed Triple 1050,515 NJ,1,ABE,2005,MS,MZ506-370TRL-09,ABE,370-380,10x30+H30,12x23,60-150-150,50,16,T,Y,,Y,,Y,,,,
27,1050,Speed Triple 1050,515 NJ,1,ABE,2006,MS,MZ506-370TRL-09,ABE,370-380,10x30+H30,12x23,60-150-150,50,16,T,Y,,Y,,Y,,,,
27,1050,Speed Triple 1050,515 NJ,1,ABE,2007,MS,MZ506-370TRL-09,ABE,370-380,10x30+H30,12x23,60-150-150,50,16,T,Y,,Y,,Y,,,,
27,1050,Speed Triple 1050,515 NJ,1,ABE,2008,MS,MZ506-370TRL-09,ABE,370-380,10x30+H30,12x23,60-150-150,50,16,T,Y,,Y,,Y,,,,
