Fabric Code,Brand,Type,Color,File
504826,2,Shirt,White With Red Stripe,504826.jpg
504827,2,Shirt,White With Black Stripe,504827.jpg
504836,2,Shirt,White With Blue Stripe,504836.jpg
504838,2,Shirt,White With Dark Blue Stripe,504838.jpg
504841,2,Shirt,Light Blue Pinpoint,504841.jpg
504842,2,Shirt,"Brown, Green And Dark Blue Stripe",504842.jpg
504849,2,Shirt,White With Grey Check,504849.jpg
504851,2,Shirt,White With Blue Check,504851.jpg
504852,2,Shirt,White With Black Check,504852.jpg
504856,2,Shirt,null,504856.jpg
504857,2,Shirt,White With Yellow And Blue Stripe,504857.jpg
504943,2,Shirt,White With Red Sport,504943.jpg
504964,2,Shirt,Pink With Blue And Red Stripe,504964.jpg
504966,2,Shirt,White With Blue Stripe,504966.jpg
504993,2,Shirt,White With Dark Blue Check,504993.jpg
504994,2,Shirt,White With Black Check,504994.jpg
504997,2,Shirt,White With Brown Stripe,504997.jpg
505004,2,Shirt,Purple With White And Purple Check,505004.jpg
505006,2,Shirt,Pink With White And Pink Check,505006.jpg
505018,2,Shirt,White With Voilet Stripe,505018.jpg
505019,2,Shirt,White With Blue Stripe,505019.jpg
505020,2,Shirt,White With Dark Blue Stripe,505020.jpg
505021,2,Shirt,White With Black Stripe,505021.jpg
505027,2,Shirt,White With Blue And Pink Check,505027.jpg
505031,2,Shirt,Blue with Yellow Stripes ,505031.jpg
505298,2,Shirt,Small Light Salmon Check,505298.jpg
505299,2,Shirt,Small Sky Blue Check,505299.jpg
505300,2,Shirt,Small Medium Violet Check,505300.jpg
505301,2,Shirt,Light Salmon Stripe,505301.jpg
505302,2,Shirt,Red Stripe,505302.jpg
505303,2,Shirt,Sky Blue Stripe,505303.jpg
505304,2,Shirt,Blue Stripe,505304.jpg
505305,2,Shirt,Black Stripe,505305.jpg
505306,2,Shirt,Silver Stripe,505306.jpg
505307,2,Shirt,Sky Blue Fine Stripe,505307.jpg
505308,2,Shirt,Navy Blue Fine Stripe,505308.jpg
505309,2,Shirt,Black Fine Stripe,505309.jpg
505310,2,Shirt,Blue With White Check,505310.jpg
505311,2,Shirt,Navy Blue With White Check,505311.jpg
505312,2,Shirt,Light Salmon Check,505312.jpg
505313,2,Shirt,Blue Check,505313.jpg
505314,2,Shirt,Silver Check,505314.jpg
505315,2,Shirt,Light Blue Micro Grid,505315.jpg
505316,2,Shirt,Black Micro Grid,505316.jpg
505317,2,Shirt,Midnight Blue With White Check,505317.jpg
505318,2,Shirt,Black With White Check,505318.jpg
505319,2,Shirt,Blue With White Check,505319.jpg
505320,2,Shirt,Sky Blue With White Stripe,505320.jpg
505321,2,Shirt,Blue With White Stripe,505321.jpg
