brand,cc,model,ref_no,vehicle_type,abe1,year,type,product_code,abe_shock,length,top,bottom ,spring,piston,shaft,preload,rebound,compression,length_adjus,hydraulic,emulsion,piggy_back,on_hose,free_piston,dtg
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,1995,TS,RE302-270T-01,ABE,270,14x20,10x20,46-25-45-140,30,12,T,,,,,Y,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,1995,TS,RD222-270P-01,ABE,270,14x20,10x20,46-25-45-160,22,12,P,,,,Y,,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,1996,TS,RE302-270T-01,ABE,270,14x20,10x20,46-25-45-140,30,12,T,,,,,Y,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,1996,TS,RD222-270P-01,ABE,270,14x20,10x20,46-25-45-160,22,12,P,,,,Y,,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,1997,TS,RE302-270T-01,ABE,270,14x20,10x20,46-25-45-140,30,12,T,,,,,Y,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,1997,TS,RD222-270P-01,ABE,270,14x20,10x20,46-25-45-160,22,12,P,,,,Y,,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,1998,TS,RE302-270T-01,ABE,270,14x20,10x20,46-25-45-140,30,12,T,,,,,Y,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,1998,TS,RD222-270P-01,ABE,270,14x20,10x20,46-25-45-160,22,12,P,,,,Y,,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,1999,TS,RE302-270T-01,ABE,270,14x20,10x20,46-25-45-140,30,12,T,,,,,Y,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,1999,TS,RD222-270P-01,ABE,270,14x20,10x20,46-25-45-160,22,12,P,,,,Y,,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,2000,TS,RE302-270T-01,ABE,270,14x20,10x20,46-25-45-140,30,12,T,,,,,Y,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,2000,TS,RD222-270P-01,ABE,270,14x20,10x20,46-25-45-160,22,12,P,,,,Y,,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,2001,TS,RE302-270T-01,ABE,270,14x20,10x20,46-25-45-140,30,12,T,,,,,Y,,,,
11,125,CA 125 Rebel,JC24/JC 26,1,ABE,2001,TS,RD222-270P-01,ABE,270,14x20,10x20,46-25-45-160,22,12,P,,,,Y,,,,,
11,50, CANOPY  (roof-scooter),,1,,2006,MS,ME302-215T-02,-,215,10X19,F.20xM10,46-200-350-100,30,12,T,,,,,Y,,,,
11,50, CANOPY  (roof-scooter),,1,,2006,MS,MB302-215T-02,-,215,10X19,F.20xM10,46-200-350-100,30,12,T,,,, ,,,,,Y
11,50, CANOPY  (roof-scooter),,1,,2007,MS,ME302-215T-02,-,215,10X19,F.20xM10,46-200-350-100,30,12,T,,,,,Y,,,,
11,50, CANOPY  (roof-scooter),,1,,2007,MS,MB302-215T-02,-,215,10X19,F.20xM10,46-200-350-100,30,12,T,,,, ,,,,,Y
