FABRIC CODE,BRAND,type,COLOUR,DESIGN,DESCRIPTION,file
80494,6,suit,NAVY BLUE,CHECKS,NAVY BLUE PRINCE OF WALES WITH VIOLET CHECKS,80494.jpg
80495,6,suit,TAN  BROWN,CHECKS,TAN BROWN PRINCE OF WALES WITH LIGHT BLUE CHECKS,80495.jpg
80496,6,suit,DARK GREY,CHECKS,DARK GREY PRINCE OF WALES BROWN CHECKS,80496.jpg
80498,6,suit,BLACK,CHECKS,SELF PATTERNED BLACK CHECKS ON BLACK,80498.jpg
80500,6,suit,MEDIUM GREY,PLAIN ,MEDIUM GREY DOUBLE TONE TEXTURE,80500.jpg
80502,6,suit,DARK GREY,PLAIN ,DARK GREY DOUBLE TONE TEXTURE,80502.jpg
80504,6,suit,DARK BROWN,PLAIN ,DARK BROWN DOUBLE TONE TEXTURE,80504.jpg
80505,6,suit,DEEP PURPLE,PLAIN,DEEPPURPLE DOUBLE TONE TEXTURE,80505.jpg
FLA-18,7,suit,BLOOD RED,PLAIN, BLOOD RED PLAIN TEXTURE,FLA-18.jpg
FLA-28,7,suit,DIRT BROWN,PLAIN,DIRT BROWN PLAIN TEXTURE ,FLA-28.jpg
HAB-5,7,suit,NAVY BLUE,HERRINGBONE,NAVY BLUE OG TICK HERRINGBONE TEXTURE,HAB-5.jpg
LDC-1,6,suit,MEDIUM GREY,PLAIN,MEDIUM GREY PLAIN TEXTURE,LDC-1.jpg
LDC-7,6,suit,IVORY WHITE,PLAIN,IVORY WHITE PLAIN  TEXTURE,LDC-7.jpg
