brand,cc,model,ref_no,vehicle_type,abe1,year,type,product_code,abe_shock,length,top,bottom ,spring,piston,shaft,preload,rebound,compression,length_adjus,hydraulic,emulsion,piggy_back,on_hose,free_piston,dtg
41,250,Grandink-250,-,3,ABE,2015,TS,TE302-315T-01AL,ABE,315,10x20,F.22x10,46-13-18-200,30,12,T,,,,,Y,,,,
41,250,Grandink-250,,3,,,TS,TD220-315P-01,ABE,315,10x20,F.22x10,38/40-13-18-170,22,10,P,,,,Y,,,,,
41,50,PEOPLE 50,B 1,3,ABE,1998,MS,OK302-310T-01AL,ABE,310,10x20,F.20x8,46-25-35-200,30,12,T,,,,,,Y,,,
41,50,PEOPLE 50,B 1,3,ABE,1999,MS,OK302-310T-01AL,ABE,310,10x20,F.20x8,46-25-35-200,30,12,T,,,,,,Y,,,
41,50,PEOPLE 50,B 1,3,ABE,2000,MS,OK302-310T-01AL,ABE,310,10x20,F.20x8,46-25-35-200,30,12,T,,,,,,Y,,,
41,50,PEOPLE 50,B 1,3,ABE,2001,MS,OK302-310T-01AL,ABE,310,10x20,F.20x8,46-25-35-200,30,12,T,,,,,,Y,,,
41,50,PEOPLE 50,B 1,3,ABE,2002,MS,OK302-310T-01AL,ABE,310,10x20,F.20x8,46-25-35-200,30,12,T,,,,,,Y,,,
41,50,PEOPLE 50,,3,,,MS,OE302-310T-01AL,ABE,310,10x20,F.20x8,46-25-35-200,30,12,T,,,,,Y,,,,
41,125,PEOPLE 125,B 2,3,ABE,1999,TS,TE302-300T-02AL,ABE,300,10x20,F.20x8,46-13-18-200,30,12,T,,,,,Y,,,,
41,125,PEOPLE 125,B 2,3,ABE,2000,TS,TE302-300T-02AL,ABE,300,10x20,F.20x8,46-13-18-200,30,12,T,,,,,Y,,,,
41,125,PEOPLE 125,B 2,3,ABE,2001,TS,TE302-300T-02AL,ABE,300,10x20,F.20x8,46-13-18-200,30,12,T,,,,,Y,,,,
41,125,PEOPLE 125,B 2,3,ABE,2002,TS,TE302-300T-02AL,ABE,300,10x20,F.20x8,46-13-18-200,30,12,T,,,,,Y,,,,
41,125,PEOPLE 125,B 2,3,ABE,2003,TS,TE302-300T-02AL,ABE,300,10x20,F.20x8,46-13-18-200,30,12,T,,,,,Y,,,,
41,,,,3,,,TS,TD220-300P-02,ABE,300,10x20,F.20x8,38/40-13-18-170,22,10,P,,,,Y,,,,,
41,125,PEOPLE 125,,3,,,TS,TE302-390T-01AL,,300,10x20,F.20x10,40-13-18-240,30,12,T,,,,,Y,,,,
41,125,PEOPLE 125,B 2,3,ABE,2004,TS,TB220-390P-01,,390,10x20,F.22x10,40-13-18-220,22,10,P,,,,,,,,,Y
41,125,PEOPLE 125,B 2,3,ABE,2005,TS,TB220-390P-01,,390,10x20,F.22x10,40-13-18-220,22,10,P,,,,,,,,,Y
41,125,PEOPLE 125,B 2,3,ABE,2006,TS,TB220-390P-01,,390,10x20,F.22x10,40-13-18-220,22,10,P,,,,,,,,,Y
