brand,cc,model,ref_no,vehicle_type,abe1,year,type,product_code,abe_shock,length,top,bottom ,spring,piston,shaft,preload,rebound,compression,length_adjus,hydraulic,emulsion,piggy_back,on_hose,free_piston,dtg
15,750,Z 750 LTD (KZ750E/H),KZ750 E,1,ABE,1982,TS,RZ362-340TRL-22,ABE,340-350,14x20,10x20,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
15,750,Z 750 LTD (KZ750E/H),KZ750 E,1,ABE,1982,TS,RE302-340T-22,ABE,340,14X20,10X20,46-20-30-220,30,12,T,,,,,Y,,,,
15,750,Z 750 LTD (KZ750E/H),KZ750 E,1,ABE,1982,TS,RD222-340P-22,ABE,340,14X20,10X20,46-20-30-200,22,12,P,,,,Y,,,,,
15,750,Z 750 LTD (KZ750E/H),KZ750 E,1,ABE,1983,TS,RZ362-340TRL-22,ABE,340-350,14x20,10x20,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
15,750,Z 750 LTD (KZ750E/H),KZ750 E,1,ABE,1983,TS,RE302-340T-22,ABE,340,14X20,10X20,46-20-30-220,30,12,T,,,,,Y,,,,
15,750,Z 750 LTD (KZ750E/H),KZ750 E,1,ABE,1983,TS,RD222-340P-22,ABE,340,14X20,10X20,46-20-30-200,22,12,P,,,,Y,,,,,
15,750,Z 750 LTD (KZ750E/H),KZ750 E,1,ABE,1984,TS,RZ362-340TRL-22,ABE,340-350,14x20,10x20,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
15,750,Z 750 LTD (KZ750E/H),KZ750 E,1,ABE,1984,TS,RE302-340T-22,ABE,340,14X20,10X20,46-20-30-220,30,12,T,,,,,Y,,,,
15,750,Z 750 LTD (KZ750E/H),KZ750 E,1,ABE,1984,TS,RD222-340P-22,ABE,340,14X20,10X20,46-20-30-200,22,12,P,,,,Y,,,,,
15,750,Z 750 LTD (KZ750E/H),KZ750 E,1,ABE,1984,TS,RZ362-340TRL-22,ABE,340-350,14x20,10x20,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
15,750,Z 750 LTD (KZ750E/H),KZ750 E,1,ABE,1984,TS,RE302-340T-22,ABE,340,14X20,10X20,46-20-30-220,30,12,T,,,,,Y,,,,
15,750,Z 750 LTD (KZ750E/H),KZ750 E,1,ABE,1984,TS,RD222-340P-22,ABE,340,14X20,10X20,46-20-30-200,22,12,P,,,,Y,,,,,
