brand,cc,model,ref_no,vehicle_type,abe1,year,type,product_code,abe_shock,length,top,bottom ,spring,piston,shaft,preload,rebound,compression,length_adjus,hydraulic,emulsion,piggy_back,on_hose,free_piston,dtg
15,500,EN 500 Vulcan (C1-C8) / 500 LTD,EN500C,1,ABE,1996,TS,RE302-310T-05,ABE,310,14x20,14x20,46-25-35-180,30,12,T,,,,,Y,,,,
15,500,EN 500 Vulcan (C1-C8) / 500 LTD,EN500C,1,ABE,1996,TS,RD222-310P-05,ABE,310,14x20,10x20,46-25-35-200,22,12,P,,,,Y,,,,,
15,500,EN 500 Vulcan (C1-C8) / 500 LTD,EN500C,1,ABE,1997,TS,RZ362-310TRL-05,ABE,310-320,14x20,14x20,46-25-35-180,36,12,T,Y,,Y,,Y,,,,
15,500,EN 500 Vulcan (C1-C8) / 500 LTD,EN500C,1,ABE,1997,TS,RG362-310TRCL-05,ABE,310-320,14x20,14x20,46-25-35-180,36,12,T,Y,C,Y,,,Y,,,
15,500,EN 500 Vulcan (C1-C8) / 500 LTD,EN500C,1,ABE,1997,TS,RE302-310T-05,ABE,310,14x20,14x20,46-25-35-180,30,12,T,,,,,Y,,,,
15,500,EN 500 Vulcan (C1-C8) / 500 LTD,EN500C,1,ABE,1997,TS,RD222-310P-05,ABE,310,14x20,10x20,46-25-35-200,22,12,P,,,,Y,,,,,
15,500,EN 500 Vulcan (C1-C8) / 500 LTD,EN500C,1,ABE,1998,TS,RZ362-310TRL-05,ABE,310-320,14x20,14x20,46-25-35-180,36,12,T,Y,,Y,,Y,,,,
15,500,EN 500 Vulcan (C1-C8) / 500 LTD,EN500C,1,ABE,1998,TS,RG362-310TRCL-05,ABE,310-320,14x20,14x20,46-25-35-180,36,12,T,Y,C,Y,,,Y,,,
15,500,EN 500 Vulcan (C1-C8) / 500 LTD,EN500C,1,ABE,1998,TS,RE302-310T-05,ABE,310,14x20,14x20,46-25-35-180,30,12,T,,,,,Y,,,,
15,500,EN 500 Vulcan (C1-C8) / 500 LTD,EN500C,1,ABE,1998,TS,RD222-310P-05,ABE,310,14x20,10x20,46-25-35-200,22,12,P,,,,Y,,,,,
15,500,EN 500 Vulcan (C1-C8) / 500 LTD,EN500C,1,ABE,1999,TS,RZ362-310TRL-05,ABE,310-320,14x20,14x20,46-25-35-180,36,12,T,Y,,Y,,Y,,,,
